pair_id	sentence_id	bem_transcription	en_translation
37	1	Shikulu bantu aleshitisha ifyakulya pamusebo	A street vendor is selling some food on the street
16	1	ee elo umumana wakayena ulemonekafye makumbi makumbi.	The river water looks blue.
15	1	umwaice ali mu muputule wa kusendamamo muli ubusanshi na itebulo	a child is in the bedroom which has a table too.
2	1	kunuma ya mbwa apatali kulemoneka ilinga ya mawaya yabuta kabili ne mendela sha kashika	there is someone walking behind
34	2	kale butuka mumbali ye linga	he is running by the wall
10	1	Umu ilefuma nimung'anda camuseke museke	It's coming out of the basket 
2	1	imbwa naitoloka ukulosja mu muulu nayasamuna na kanwa	the dog is leaping out of the water and jumping into the air towards the sky
38	1	Ifyakufwala afwele fya balya abakansha imbwa ukuti shibe ishikali.	the clothes he is wearing belong to dog trainers
18	1	Imishishi shakwe kumuntwe shintu sha putulwa bwino bwino elyo ishiipi	he has a nice short hair cut
17	1	Emukwai abantu kuli abafwele ifya buta nefya fita.	Yes, there are people that are dressed in black and white.
6	1	akabwa akatolweke nakemya nomucila uwafunda mumulu elyo pakutoloka kwati kwalefwaya ukupilibuka mumulu pantu nakapunama ukulolesha  akamupila.	The dog that  has jumped has raised it's fluffy  tail as though  it wants to do a flip because it has turned it's  head to look at the ball.
2	2	nabika amaboko mu matumba ya campepo ilyo eminine kabili talemoneka uwa nsansa.	his hands are in the pockets of the jumper and he does not seem happy
8	1	Cilepala kwati nibanyina no mwana	it seems this lady is the baby's mother
11	2	ee. ileenda mukashila akanono pakati	It is walking in a very narrow road
8	2	ulupili nalo lwamunsensenga uwabuta 	the mountain appears white
25	2	icola ico akobeke pa kubiye kwa ku kuso nacilepuka, cimbi icola naimya kukuboko kwa ku kulyo.	The bag he is carrying  on his left shoulder  has ripped and he is carrying another one on his right shoulder 
36	1	elyo umu mwine mucikulwa muli  amalaiti eyengi nayasanika.	and this building has a lot of lights that are shining so brightly 
18	2	pantu fwebashakosa palya teti tukwanishe,kuti wasunkanakofye panono wapunda namutule.	Suchlike people are so careful, otherwise we who are weakly can simply shake once and lose it.
27	1	Nipaci patala mukwai eifyo abanomba bemanine panse nimuku pupwa umwela 	It's a hospital, that's why the ones standing outside are just catching some air. 
35	1	Ulemoneka uwauma sana, ufwile wa muciswebebe.	It appears to be very dry, it must be from the ocean
31	2	icangalo cafinama  chilemoneka ica bukalwe	animal fights look cruel
32	2	bamo nabakwata piki bambi nabo nabakwata shofolo	One is having a shavel and the other ne is having a hoe.
12	2	Bale sambilila mukati ya chikulwa	they are learning in a building
25	1	Cilemoneka kwati nabamutumina lamya abaku ncito ukutila ati balemufwaya eco alefwaila ukya.	It looks like they have called him from work,that is why he really needs to go.
13	2	Elyo anyantilefye pa chi chofelo chimo elyo kumbi ukulu anyantile ku kapuna kaku njinga	He has one leg on the peddle and the other on the saddle. 
26	1	Ala abanensu kufyalo baba namyangalo ayengi aya pusana pusana	our friends in other countries have different kinds of sports
14	2	Cilemoneka kwati uyu mwana acila afwako banina ukuwamya pamutenge.	It looks like this child was helping out the mother to clean the roof.
4	2	Pali netenti ilikulu pambali epo aleya muku ponena uyu umulumendo	There is a big tent where he is falling.
21	2	iciine ecobinse bafwalile amagalashi nefisote fyakubacingilila	Indeed as everyone of them is wearing their PPEs in the sports.
1	1	kwena akanya nabakafwika  isoko na ichampepo ichatikama nako , elyo umwaume aloseshe pantanshi Kali ifichilwa ifitali ifyabuta	the baby has a sock and warm clothe.infront there is a tall building
5	2	na butuluka pa menso nalimo aci isuba ifya buta pa menso, paliko na ifilengwa ifya makumbi makumbi ifo ashilile mumbali ya menso pe tobo napa nkopyo	her face is really white like she put white paint across her face she also has some blue paintings on her cheeks and her eyes
19	1	Kabikapo akatambala mumutwe, amakalashi yafita, kaputula wafituluka, elyo na pata-pata kunkasa.	she is wearing a bandana, sunglasses, grey shorts and tropical slippers
17	2	Kabili aleimba muli micro phone itali iya fita.	He is singing using a black microphone.
26	2	Kuliko nomu kashana nomulumendo abeketene nabo naba fwala insapato shama wilo katwishi ngelo bale sambilila olo pali ule sambilisha umunankwe	They is also a lady and a man holding each other together and wearing roller skates , I don't know if that's when they are learning or one of them is teaching the other. 
35	1	Filemoneka kwati kuti yaba matuuka umo bashitisha ifintu ifyalekana lekana.	It looks like a shopping mall that houses various shops and sells various goods
39	1	 Bushe muli uyu muputule abana a bekele patupuna mupepi ne tebulo ikwete insalu banshikepo iyelangi lya fita  balecitamo finshi Pali iyi nshita?	what are these two kids doing in this room?
