IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
11701,man and woman are sitting outside,this place where they are is one where they can buy food stuff such as tea,it appears as if different groups of people visit this place,one needs only note the number of bicycles under the tree,these people must be friends or people who love each other
11702,a light skinned young man is standing in a shop wearing a red hat,he looks very surprised,what is the white object that he has in his hat,perhaps he is moving around with a pen just in case he needs to use it,the manner in which people interpret things can make you laugh sometimes
11703,two men standing standing on the side of the road talking,what about this cloudy blue wall that is near where they are standing,the walls are usually used when constructing buildings,they are quite close to the big town that can be seen the big buildings that can be seen behind them,"some people cannot see the progress being made, all they see is somewhere to write graphiti"
11704,two women and a white skinned man are playing by the road side with shoes that have metal pieces,when does one wear such shoes,they are worn during riding competitions or other competitions,these people appear to have gone out to have fun,this is usually the best time
11705,a crowd of people competing in bike riding while others watch,these people ride bicycles for long distances,riding bicycles are different from bicycles used in every day life,people are standing on the sidelines coming to watch,those competing are passing through town
11706,one man is climbing the hill wearing climbing gear,this looks like summer time because it is all dry,perhaps the snow hasn’t fallen in a while,this person has carried climbing equipment,some of the things are packed in the bag but walking stick is held in his hand
11707,a girl child is standing on a plank that is hammered into the tree,this tree is dry and it has been chopped up,this area appears to have a lot of dry trees,maybe some tree have been cut  so that they can be used for games or for other things they can think of,that could be the reason because there are many people in the houses  with their cars
11708,a light skinned man is taking pictures on his phone with his dog by his side,where is this person taking pictures from,he appears in a home where they do a lot of cleaning with a lot of cleaning materials,they have placed statues that look like fish diving through the soil as it would in the water,whoever built these is very clever
11709,a group of women are girls are by the riverside,some are sitting in the water while others are pouring water on their bodies,they are all wearing clothes that are common among indian women,the water in this river is not clear. It looks muddy,perhaps it’s the large number of people that has caused the water to look muddy. They don’t seem too worried though
11710,a man and a girl are standing in a hilly area,this appears to be a father and son,this child appears to be very tired,he would be tired if they had climbed up the mounds or hills,this is the time used to strengthen the love between the parents and their children
11711,a young boy is sitting on the ground with his toy in his hand,does this look like a house he is in or is it outside,this appears to be a house or a house of middle class people,he doesn’t really look like a rich child but he seems to be doing well,often parents struggle to take care of their children even when things are hard
11712,the dog is jumping around trying to interupt what has been put in front of it,is this dog just playing  around or is it ccompeting with other dogs,this dog looks like one that is well trained or one that can compete with other dogs,even the place appears to be one that is built for training dogs,"they do a lot of things and when they win, the celebration is just like for humans"
11713,two women are at the busstop,one woman is sitting and the other is standing. Where do they seem to be going,not sure whether they have just come from work or they are just leaving. One of the women appears to be wearing work clothes,the friend is sitting leaning the chin in the hands. Perhaps the worries of life are too much ,"behind them are some other people moving around by themselves, they have their own plans"
