IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
8701,i can see a bird seated on the branches of a tree,And the bird looks lonely and sad like it's been left behind by other birds,"you are right, or maybe the other birds are on other branches of the tree ",it looks like that because birds don't move alone,"you are right, birds are usually fond of playing together"
8702,this man looks like is holding something in his hands when passing by the road side,I think it's one of those men who like playing on waves of the sea,"you are right, even what he has in his hands is used for sliding on the waves of the sea","it's true, what he has in his hands is what's he boards when sliding ",it seems he started sliding on water long ago because it's not so easy to slide on water without falling into it
8703,a lot of people have taken off their shirts and are standing in a boat which is on a big river,"and there are different kind of people, men and women.","it looks like these people are celebrating something in the boat,because others are even dancing and dancing","yes its true, they are very happy, these  people in the boat",it's good  to celebrate somethings with friends in diferents places
8704,A young girl is standing and holding on to a metal thing,I can see this is a bridge and she's watching something in  water ,I think something surprised her when she saw it in  water,"it's true, she has seen something in water because she looks very suprised, this  baby","I think she's also with someone, because she can't be found alone in this place "
8705,the old man is sawing something,"and he has  a wooden board on his laps,where his sawing from",I think this old man is sawing a shoe,"I think this is what his doing, this old man.","maybe his sawing different things, together with clothes."
8706,a man dressed in black is standing and holding a black knife in his hands ,"and dressing like this, i think it's those people who train how to fight using  knives","yes, and I think there are training how to fight using knives right now.",I don't think there is any thing else these people are training how to fight with knives ,"yes,  and maybe it even be that this man is their teacher"
8707,two ladies are seated on chairs in a shade,and the place were they are seating is looking so beautiful,"yes it's so beautiful, and I think this place is made for people to seat there, because I can see other people seated in shads",and I think the place is loved for  chilling,maybe people  even eat their fool in this place
8708,a young boy without his shirt is in the water,it seems like this young boy wants to swim in this water,"and the water isn't that deep, bacause it's just reaching in his knees",are you suggesting the whole place is shallow or it's just were his standing where it's  reaching the knees,"it seems it's shallow, because they can't allow him to go in if somewere it's deep, he might try going there"
8709,this man is wearing a helmet on his head.,"from the look of things, it seems his doing some works that require protecting your head ",no! this helmet is mostly worn by people who ride bicycles ,"yes, it's what they use to proctet their head if they fall down","no, this man is coming from riding a bicycle"
8710,this man is drawing a flower on a paper,"and he knows how to draw, this man!, because his drawn it very nice","maybe he draws a lot of things, not just flowers","yes, maybe he knows drawing diferent things, this man","yes, maybe even drawing flowers on bodies of people"
8711,I can see monument on top of the house ,I think this is a shop were they sell monuments ,"yes, I think it can be a shop, because there are a lot of monuments",is it a shop for just monuments or even other things,"I think it's just monuments, because they are the only things I can see"
8712,this place looks like it's for trading ,you are saying the truthz because I can see somethings being sold,and where they are selling is a road side where people are passing,"maybe this is were they sell more,because different people are passing","yes, I think that's why they sell sell here, people are passing a lot to see what they are selling"
8713,"this man is hold the cheek of a woman seating in the car, and the woman looks very happy ",maybe his trying to say goodbye or just showing how much he cares,the woman seems to suprised like maybe there is something this man has shown her,I can see it's goodbyes because this woman is on a journey ,"yes  it seems so, because this woman can not just look like this without a reason "
8714,a you girl is climbing the stairs on the building ,"maybe this child is trying to go inside the house, she tired of being outside alone","yes, it seems this child is entering inside the house ",and this house itself has a lot of  stairs to climb,"yes, it seems the house is so big"
8715,a man is in the boat which is on a big river.,"what of these other things I can see behind this boat, are they waves or just wind?","no, this is just wind behind him, if were wave he could have already moved away","you telling the truth,  if it's waves he could have started running long time ago because they are too big",and it seems like his just alone in the boat
8716,two men are fighting and are wearing shoes with wheels,It looks like this a game because even a referee is watching them from a distance,then can it be a game of fighting wearing wheels on your feet?,"maybe this is how they like it, such that you need have strong balance when fighting",eeh! our friends have a lot of different games
8717,a young boy and a girl are crossing a river stepping on stones,it looks like these two little ones are going somewhere and you have to pass by this river ,and the river looks so big,"and these kids  have no fear of passing by this place, ","no they don't, maybe they have been passing there for a long time"
8718,a man is holding a camera and another one is taking pictures with his camera,"it looks like they are all taking pictures of something in front, but this other man wants to take a clear view somewere  ","maybe they are preparing for a single day when they will be taking pictures, because they seem to be standing were musicians do their singing",are taking pictures of musicians or just viewing places?,"no, they are just looking at places"
8719,a man on a skirt board is jumping over chairs made along the road side,and he really knows how to drive this thing because someone else can easily fall down and the ground gets cold,it's surprising why his even playing in this area,it seems like he likes it some much or it's very nice for skating,maybe this place is allowed for skating
8720,this man has something's like wooden boards he is swinging in his hands,this man is learning how to fight using these things in his hands,"yes, even the dressing seems like his been fighting for a long time",it's seems this person started a longtime ago,maybe he can even be one teaching how to fight
8721,people wearing helment and coats are standing inside an office,maybe these people are builders and they are checking where to repaire the building,yes I think it's them and discussing on how to they work on somthing ,"yes, because it looks like someone is showing them were to repair","maybe the task needed to be done is big, that's why they are discussing how to work together"
8722,a small dog is running with a ball in his mouth,I think a person is throwing the ball at this dog so that it can run or catch ,I think it's with the owner because even the place looks like at home,"it seems so, I can also see that",small dogs really love to play with a ball
8723,a crowd of people is watching a man holding on to a metal bar which is spinning and spinning ,"what's he is doing and were he has boarded is marvelous, that is why people are watching him.",maybe he does all this so that people can give him a few money,"there are so many ways of making money, this is how he also makes his money","yes, and I think his been doing this for a long time for people to stand and watch him"
8724,"this lady is swinging  very high and she's  even very excited,",and she has swang very high to the extent that only the skies can be seen,maybe she is excited because of swinging very high,and she is not even afraid of falling,"no, she's not afraid because she is a big lady"
8725,the tall lady walking in the road is pressing a phone in her hands,And this lady is just alone by the road side,maybe it was early in the morning and a lot of people were not yet moving,"you are right, maybe she wants to go some were early in the morning ",the buildings along side the road also look like shops
8726,two men are inside a room and they have put some cans and chairs on top of a table,don't you think there inside a kitchen ,"yes, I think it's a kitchen and looking at what is inside anyone can agree it  kitchen ",maybe these are workers doing their cooking ,maybe they finished cooking and they are just cleaning
8727,small kids are watching a table spinning with some dolls under it,maybe these kids trying to choose some dolls,I think is a game they are playing and u win a doll,"i think so, maybe u don't buy but just win","yes, because there a lot of dolls hunging"
