IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
1951,A bunch of white people standing around as they have a drink,a group composed of young men and women ,it seems one of the girls is sited ,one man is holding a bottle of alcohol,they're all happy 
1952,People checking out goods on sale,it's quite crowded ,most of the goods are wood carvings ,one man has a cap on,it seems they are at a shop
1953,A young man water skiing,he is holding a rope,he is being pulled by a speed boat,and there are trees behind him ,the waters seem pretty deep
1954,A child playing with fireworks ,there is one person walking behind the child ,seems like it is night time,"yes it is night time, for it is really dark",the child seems really happy
1955,A lady holding up a flag,behind her is a sky blue garment ,she's either singing or crying,there are trees behind her ,she has long hair and is putting on a dress
1956,they are dancing,holding up their gown dresses as they dance ,their dresses look the same ,behind them is a site of trees,they all have the same head wrappers 
1957,a young man has a hat on,there is a crowed of people behind him,another young man is watching the game from behind,the young man in a cap is participating in games ,he is in a running race 
1958,a young man walking,there are drawings of a clan on the wall,he is using a walking stick ,a young man on the wall painting has a bag,others are laboring
1959,a man and a woman holding up a labeled banner ,there is one man and two ladies ,three women are sited ,this is the peace protest mob,two young ladies kneeling
1960,this is a musical trio,one man playing a guitar,the other young man is on the drums ,there is a banner behind them,there seems to be a lady playing the guitar on the other side
1961,"two people standing, a lady singing",a young man listening,a woman singing,a young man wearing a hat,a young man listening
1962,two white individuals working ,there are cars and houses on the side,one has a protective helmet on,on grassy grounds ,he is speaking sign language 
1963,the children are playing,one of them is on a swing,one of them is pushing the other,they are on rocky grounds ,they are at a play ground
1964,three people on a boat ,the waters are reflecting peoples shadows against the sun,the boat is at sea,mountains on the side of the waters ,the sun is setting
1965,a young man is playing long jump ,behind the people are trees ,there is an audience,there is a house behind the trees ,some of them are in sports wear 
1966,"there is a fire truck, along with some fire fighters",there are houses in this city ,the car is in the middle of the road along with workers ,there are three cars behind the man,workers have work suits on
1967,A mother and Father have gone inside the house,A young man lifting goods ,a lady behind a man,one door is open the other is closed ,two people on seats 
1968,a lady selling beverages,she has a bucket and cups with her,she is making her own drink,on top of the bucket are three bottles ,she is wearing a hat
1969,a young man is working on his laptop ,there is a white wooden board behind him,there are two speakers on the table ,he is putting on a shirt and a pair of pants ,A laptop and speakers on a table
