IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
7201,Two men are playing baseball in the field,the man on one side has thrown the ball to the man on the other side.,they are both wearing red baseball hats,"their clothes are white, this is the only sport that surprises me.",there's a number 32 written on one man's shirt written in red ink.
7202,A female child is seated while holding her cheek.,"she is listening attentively to what is being spoken inside the building she is sitting in, adults would have already fallen asleep.",she is wearing a blue dress and a small hat on the side of her head.,"she looks so clean as if she doesn't play with mud, this place is filled with clean people like her",there are people seated behind her
7203,a group of white men and women are seating in a room that looks like a classroom.,"a lot of them have laptops on their tables, some people are standing while others are sitting","there's books, papers and a phone on the table ",this place is so clean and fit for meetings and lessons,"that's true the place is clean, lessons can go very well in such a place."
7204,An old white man is wearing clothes with different colours and he has a white beard.,"his beard is as white as, and he is dressed like he is part of a circus",he is also carry a white dog that has different colours painted on its head.,"he is holding his beard with his right hand, while he is standing in the middle of a crowd that's celebrating on the side of the road.",There are words written in Chinese on a poster that's on the building that's on the side  
7205,a baby boy is sliding down a blue slide,"he has closed his eyes out of fear, his mother is just laughing like the rest.",his mother is wearing black sun glasses while the child is wearing a black shirt,"we were all as scared as this child when we were young, especially when in water or being lifted high up","you have spoken the truth, some of us used to cry more than this child."
7206,three white women at standing in the river,"they're not wearing shoes to keep them from getting soaked, the one behind is carrying her own shoes.","two of them are wearing hats while one isn't, she is just carrying a bottle in her hand.",only two of them are looking at the camera while the other one is facing down at what's in her hands,there is dry graas at the river bank
7207,a male singer is standing on a stage while holding a microphone,there are two more people singing with him behind one on his left and the other on the right,among the people behind him one is wearing a black shirt while the other is wearing a red one ,this place is lit up like it usually is during such occasions in clubs,"the singer in front is holding his chest, it seems the song has touch his heart."
7208,A woman and a man holding a child are seated on a bench that's on the side of the road ,the woman is taking a photo/picture with the child while the man is lost in thought.,"this place has a lot of people with children in their arms, others are showing their children something","this place has green flowers, while they're just watching from outside a wire fence","these people are doing different things, some are standing while others are seated"
7209,A white skinned boy child is running where water is being splashed.,his whole body is soaked from the water that's pouring while his friend on the other side is moving out of the way.,the man pass by is just looking at what this child is doing.,she is wearing purple sneakers and a hat on her head,the man passing by the children is bald headed he is wearing a red shirt
7210,a white skinned man is climbing a rock in the park,this hill he is climbing is made for children not adults like him,"thos place looks clean, the grass looks nice, this place is well taken care of.",there's small stones and sand where this rock is placed.,if you fell down you'd be badly hurt on the stones that are on the ground
7211,two male children and a man are swimming in the swimming pool,they are both wearing green swimming costumes,"there's a man standing outside the pool, he is watching the children like a life guard","this man doesn't look like a life guard, ask me why I have said this, it's because he isn't dressed like one.",he is just wearing a blue short like a tourist in this area
7212,a white skinned man is holding food in his hand while walking in the road,he  is looking into the surprised as to why his picture is being taken because he is just walking on his own.,"there's a poster in front of him, it has words written in white and black ink",these words are talking about how they can get help regarding a death that occurred,there's a building hiding behind the trees and the man.
7213,a builder is driving a yellow excavator  ,"it looks like it hasn't started moving, just look at how the driver is seated.",he is looking behind trying to see if the excavator will be able to pass,"this is professional driving, you have to check everything in advance","that's right, this vehicle he is driving is too big, it can destroy a lot of things if he doesn't drive it properly"
7214,a group of people is seated outside a field watching a man,it looks like his horse is not ok because of how he is struggling on it,"that's true it looks upset, one man is just standing while watching what's happening.",I believe these horses have been checked before riding them,"you have to know your horse before your start riding it, because these animals  are very dangerous if it doesn't know you."
7215,a white skinned young woman is holding a tray that has a glass and bottle of beer on it ,"she is wearing short clothes you can see her belly button, she is carrying a cold cup.",on the wall behind her there are words written in white paint it looks like they're written in Spanish.,"our friends language sounds lovely, but it is talking about the kind of food that is being served here.",behind the young woman there's a glass door that's open to allow people to enter.
