IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
2451,People who keep young and old people are sitted on the chair while lifting somehing.,They are in the library while young ones o not have shoes.,Some are lifting thei hands while holing butterflys.,"Butterflys are having color orange,is there any function aroung?",It looks lik there is a funcion becaue everyon is watching.
2452,"People on the table,one is looking at the cup,the other one is pointing up then others are looking at the food.","It looks like they are gathered to eat,is this man insulting?",It looks like he is insulting the camera man.,Each one of them is doing thei own things.,They look like they are on different missions.
2453,A young boy is putting on warm clothes while throwing rhe ice.,"Behind the young boy there are two houses,one is showing and the other one is not.",He looks like he is very happy to play with the ice.,He will not fel anthing  epecially with the ice he is playing with.,"He is putting on warm clothes,so he is ok."
2454,A young woman is putting on glasses near the tree an playing a radio.,"This woman has brown hair,earings and a watch.",The radio she is playing with has a big rope down.,The radio looks red an black whil she looks pregnant.,It is the cloths sh is putting on which is making he o look pregnant.
2455,"Three people sitte in the car,some are looking in front and some behind.","In front of the car,there is a picture o crucifed Jesus.","A man facing down has long hair,white clothes an some men have glasses and some have not.",It looks like thee are some people in the car.,These same people are behin the car.
2456,A young woman with white clothes is looking a the ball an in font o him there is a boy.,The young man is holding the ball while playing a game.,"Behind him,there is a group of people sitted and watching him.",The group of people came o cher o people who came to wath the game.,The ball is orange and black.
2457,A group of people are next to the table and some are sitted on the couch.,"Among the group,there is one woman with glasss and other there men and two women.","Behind them,there are five people with a table.","It looks like they are the only ones,but what are they oing?","There is nothing on the table,it lokks like they only came to talk."
2458,"A boy has a bag on his back looking somewhere behind a man,are they together?",Will the boy not going to get nlost since he is behind alone?,No he can not get lost because the man is waiting for him in front.,The boy is staning somewhere and the man is staning in the shade.,"He is not very visible while standing,but will the boy se him proply?"
2459,Two young women with long hair are playing on the swing.,"Both young women are outting on blue trousers,they look lik they are twins.",Yes they are twins because they look like alike on the face and with clothes.,The hair is covering the face because of swinging.,"They are happy on the swing,while holdimng hans as if they are scared o fall."
2460,The dog is chasing the ball while looking at it.,The dog is playing on the grass and in front there is a fence.,It looks like there is a person where the dog is playing from while the ball is in the air.,"That is what it looks like,it can not throw the ball on it's own.",Yes there is electricity and in front there is a fence.
2461,Two girls without shoes are happy with shiny dresses.,They are putting on blue dresses and a red rope across the dresses.,The place is dark but there a bit of light where they are standing.,"When dancing,they are pointing in front and one is laughing.","Among them,one is shorter and one is taller."
2462,Two men are putting on black shirts and playing pool table.,It looks like they are playing on a moving table.,Both of them are in a light place with shoes.,One man is holding a red pool table stick to push the ball.,The pool table ball is white in color.
