IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
6701,two boys are playing a game,the game looks like rugby,the man in a stripped shirt looks like the refferee,a referee is the person who ia incharge of a game,one player is wearing a helmet that is similar to his short
6702,a baby is crying,the baby is sitted in the cahair and she has open the mouth while crying,a bird found on the river is flying,the food looks like breakfast,"on the table there is a cap,tea and some bread on the plate"
6703,the bird that is found  at the river is flying,it is flying ffrom the sky and then touching the water,the bird has long tiny legs,the peak is very long and sharp,at the same time it looks like its trying to catch a fish
6704,a game hunter is carring some wild animals,the animal looks like seals,the seals are found in water,some are on his shoulder while some in both his hands,the game hunter is wearing green clothes
6705,a boy child is laughing,he is wearing a blue shirt,he has some that looks like salt in his hands,his laughter like some is just making him llaugh,there is a chir behind him that looks like the curtains
6706,a child is happy,he is in the yard,he is standing on well trimed lown,he he has strached his hands wide open,his hands are wide open even as he's running towards a friend
6707,a person on thre skateboard in the sky,he his on top the river waves,he has stepped his feet on the skateboard,one hand is the sky while his holding the skateboard with the other hand,he is wearing cloths like a skydiver
6708,a group of six people are at the river,they look like lovers,they are in pairs of two each with their patner,two men and two women are wearing same cloths,oone man has jumped in the sky due to happines and his lover is looking at him
6709,a man is in the bush resting,he is under a tree where there's some shade,he has food on a plate that his eating,it seems its hot season and his wearing a sleeveless shirt,it seems the man is just alone on this palcre cause no other person is seen
6710,five people are climing a mountain,they all have bags on their backs and walking sticks,it seems there are three men and two ladies,they are all wearing jerssys and headsocks,the mountain is full of snow
6711,two men are playing a game of donkey riding,one has climbed on the donkey while the other is standing on the ground,the one on the donkey is wearing black cloths while the other is wearing red cloths,their are people wearing in the stadium,the stedium has sand on the ground
6712,two ladies are sitted in a cassino,they are both wearing black cloths,they both aslo have white hair,one lady is holding her chicks with both hands,in the building there is also a gentleman and an oldman standing behind the ladies
6713,peolpe are in a sports ground,there is a man in the sky that everyone is watching,he has faced his body upside down and his holding his legs in the sky,the people watching are sitted while some are standing,the one standing seems to be the ones that are in charge of the game
6714,a man is standing in a room,he is reading a newspaper,he is also wearing his spectacles,he is standing while reading,he is standing alone and no other person is seen
6715,two men are sitted in a boat,they are in the middle of a big river,they are boh wearing life saving jackets for safety,the boat they are in is called a speedboat,one of the men is the one driving the boat
6716,an old lady is with her dog,it seems like they are on dog race competition,the dog jumping has white fur and some brown patches,the old lady is following the dog behind,there are also poeple that are sitted an watching
6717,an old lady is sitted with her dog the long side the road,they are sitted on a cut tree,the old lady is looking at her dog while smiling,the dog is white and has a dogbelt around the neck,the place where they are sitted has a road and some dry trees
