IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
9701,Two men are playing the same game,Which game is being played by these two men?,These two men are playing the game called American football,These men are playing where there is alot of sand and they are both wearing black shorts,"During this game there are alot of people , others are standing while others are sitting as they are watching the game."
9702,A man wearing a  long sleeved blue shirt and a black cap is standing,In which place is this man standing?,This man wearing a long blue sleeved shirt is and a black cap is in a place of work.,What is this man  who is  standing doing in the place of work?,This man is speaking on a black telephone
9703,A young girl wearing a dress having colours of the rainbow is standing.,A white skinned young girl with brown hair is eating?,What type of food is this young girl eating?,This young girl is eating a sandwich.,This young girl is standing in a dark place with her eyes wide opened. It seems she is looking at someone.
9704,Different people men and women  are standing on the road,What are these different people doing where they are standing?,They are watching a man who is dancing on the road,What is this man who is dancing wearing?,"This man is wearing a blue gown and trousers having red stripes, a black hat and black shoes"
9705,"Different people where there are men and women are in one place , others are sitting while others are standing",In which place are these different people ?,These people are in a market place because others are selling while others are buying,A fat woman is sitting under a small hat made of wood and a blue tent in the market,"A woman wearing a black skirt, a white shirt and a wrapper having different colours is selling fish in the baskets on the market"
9706,A man wearing a blue trousers and shirt is standing alone in the play ground,What is this man carrying something like a blue bag with short hair doing alone in the play ground?,This man is standing in front of a parachut it seems he was using it,How is this green and reddish looking parachut used?,This tool is used in two ways.It is sometimes used to fly to the sky and sometimes to fly from the sky
9707,Two men are in one place. One is standing and the other one is sitting,What are these two middle aged men doing at this place?,These two men are conversing in harmony because one of them is looking happy as he is laughing,The man wearing a black short with white stripes and a grey shirt is sitting on a wall.,The man wearing a shirt with white and blue stripes with short hair is standing infont a short wall
9708,A woman with black and reddish hair is in a bathroom,What is this woman wearing a  reddish shirt doing in the bathroom?,This woman is bathing a baby with a green sponge in a white bathing tab,The baby is bathing in the bathroom which is inside the house and crying because of bathing,mother and her baby are in a bathing room which has flowers and some other   plants  an is painted in White
9709,"Different people, where there is one  man and two women are in the same place",How is this place looking?,This place is looking dark its seem it's in the night but it's lightened due to man made  light,What are these different people doing during the night time?,The two women are sitting on a bench and reading some papers while the man behind them is walking
9710,Five me wearing blue trousers and brown shirts are on the stage and one of them is lying on the ground,What do these men seem to be doing on the stage?,These men seem to be doing a group play which people do for competition,What else is on the stage where there are these five men?,"On the stage there is a chair, two small green tents ,two flags with three colors,some small trees and a microphone"
9711,"A young man wearing a black trousers, a white shirt,an orange cap and black and white shoes has bended. ",Where is this man and how is the place looking In the eyes?,This man seems to be on top of  big rocks and the point where he is seems to be close to the horizon,What does this man seem to be doing?,This man seems to be looking down so that he can see something properly
9712,Different people where there are men and women are sitting in one place,How is the place where they are sitting looking?,This place where they are sitting seems fertile and  cool because it has treees and there is a hut in front of the trees,What are these people doing and how do they look?,These people are playing  and spending time together and roasting some food using fire. Furthermore they seem happy
