IMAGE #,SPEAKER 1l,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
3451,A white young boy is smiled at the the camera while taking a picture.,"He holds the snow ice, if it were here in Zambia you'd hear kids say an ice block from the rain. ",This young boy is wearing a cap to prevent the cold.,"As well as in a thick orange coat, his chicks are cracked by the cold like in June here in Zambia.","For sure this place is very cold, our friends are even strong, had it were some of us we would have died from the cold long ago."
3452,A male or female is seating on the rock top with folded legs.,"This one is definitely a female, she seems like sunbathing on the rock top.",She is also wearing a red cap and has got long hair which is even protruding through the cap. ,"In these rock where she is are snow like cold, hence the gloves on her hands. ","And then she is carrying a black bag on her back, it's like this person is hiking, but relaxing by the mountain."
3453,A man and woman have jumped higher with their hands lifted up.,"These English races are so shocking, just how do they feel around the waters?","Surely you can wonder, these are also wearing black shorts of the knee length.","Just imagine how cold our friends' countries are, but you quite wonder by how so much they play in water.","For sure you can marvel, even the skies are clear with less clouds."
3454,A carpenter man is hammering the wall with his hammer.,"Instead this man is a constructor, it looks like he is removing the old paint of a white color.",And he is wearing a blue cap and sweater coat also has short hair.,"And the building seems to have faded out, and for that reason its old white color unpainted for a new one.","The walls look old indeed, our friends the whites like new looks therefore they keep changing even the walls."
3455,"A dark skinned man is in the bush, while his leg rests on the firewood top the other one is down. ","He is sailing on the water in a plank-craft boat, as it is longer in length, and he is faring firewood with a wave at the cameraman. ","Yes, he is even wearing a cap with his leg up as someone who is  avoiding to fall. ","He is sailing along some long grass, for the reason that he does not struggle with the waves of the sea should there be a strong whirlwind. ","Surely, this man is also wearing a blue trouser with firewoods on his boat."
3456,A brownish dog is running around in the stadium rather towards the bush.,"Its mouth open while its front legs trotting up, it then has two black neck-belts around its neck.",This dogs seems like running after someone coming towards it.,"Or just the way a hunter's dog behaves, it widens its ears and waggles the tail when about to chase after the animal.",The two belts around its neck are like ownership labels for identity.
3457,Four guitarists are singing on the stage with their instruments.,"These are only males, their show is one breathtaking to the crowd.",At this place are lights of all sorts of colors as illuminations.,"Behind the singers is a starlight, and the atmosphere is fully beamed.",All of these singers appear to be in white shirts.
3458,Two light skinned men are by the market buying some fish.,"Their skin is Chinese, you wonder the fish type our friends eat, but the salesman is of another race.",This fishmonger is in a white shirt with red dots in the sides of the neck and chest.,"There are flowers in his front, and above his head appears a mirror like CCTV camera.","This area is lit with lights, as if it is in the night huh."
3459,A white gentleman is riding on his bicycle.,"This gentleman is a cyclist, he is light skinned.","And then he is wearing a white cap, and t-shirt inside the checked shirt.",There are graphites of assorted colors on the floor where he is cycling.,Buildings as well as trees are behind him.
3460,The barber man is trimming the man's hair.,"The two men are Chinese, and there is a mirror in their front.",Two riders are riding the motorbike on the other side of the road. ,Next to the barber man park two vehicles: red and white.,The barber man has got short hair and he is wearing a white robe.
3461,"Three men wearing shirts of assorted colors are walking in fog, or rather dust.","Their complexion is Canadian, look at the skin and the flag next to the gent in green t-shirt.","Definitely these are Canadians, and each of them is wearing a t-shirt of different colors.",One of the men is walking with head down as one hoping for a better day.,While the sun seems to have shined brightly even where the men are standing.
3462,Asian gents and ladies are smiling at the camera as they take a group photo.,"In front are two gents with four ladies, of Korea, with their hands up. ",Among them a lady is putting on spectacles for better sight.,Within the group are the two ladies putting on spectacles as their aid to clear sight.,There is even a gentleman in a white cap behind them.
3463,A baseball player is targeting the ball.,"The man in front is swung his hands with a stick, to save the ball.",This man is also wearing a cap and t-shirt of color green.,"Looking closely this color is navy blue with a white trouser, a black camera also nearby. ",Only where he stands but everywhere else is dark green simba grass.
3464,A group of people is jumping in readiness for a group photo.,"This is why a camera is interesting, it excites everybody else hahaha.",In this group a certain lady is wearing a red tshirt and another a black one.,"The roots of the tress meander everywhere, before them a small black bag is down on the ground.",A river lies behind them and furthermore across it a plantation of trees.
3465,A white lady is wearing a cap and her finger pointing to the front.,"It looks like an explosion of rocks, the same way dynamites explode when mining minerals.","Indeed, and beyond the rising dust are the trees in their calmness.","The same thing marveled the wondering young lady, see how she is just stretched out her hand.",The damsel is got long hair and she is wearing a white t-shirt.
3466,A white man and woman are having a chat.,The lady seems to be explaining something to the man over the CD like object in his hands.,While this gentleman is looked at the same object so intently.,"The room they are in is decorated with assorted lights, and picture frames on the walls. ","This lady is in a long sleeved shirt and blue in color, she also has got long hair."
3467,A certain white lady is seating down in sands stirring in a tin.,"Then she is bending her head down on the plate with relish as she adds some ingredients, it looks like mayonnaise.",This lady is wearing a cap and t-shirt of color red.,"Down her widened legs is a plate with bread, a bottle of drink, but behind her is another lady further down the rocks.","There is a rock and hills that surrounded by visible trees, she is also wearing white socks."
3468,"Four guitarists are playing their guitars while singing, three are light skinned but one is darker.","They are on the stage with guitar of different colors, the drummer behind is drumming electrical drums.","There are labels in white printed ""New York"" behind the place.","While the follow up words say ""BENEFITING YOU MORE HEALTH"", as if this was their event theme.",The white gentleman is putting on spectacles while the black man is wearing a black trouser.
3469,A dog of white feathers is standing by the waters having a red ball near its leg.,"It is drying out water by shaking feathers, it seems this dog picked the baseball from the water.",It looks like playing hide and seek with its keepers.,There are blue belts around its neck. ,And the baseball has got lines which are blue in color.
3470,"A light skinned lady is covering her head a green coat with white, she is like preventing the sun.","This bomber jacket has got also orange color in the armpits, she is in the stadium then she is Irish of Ireland.","And she is in a white shirt, behind her a man walking with a white patch on the chest of his jersey.","Both of them seem to just be walking in the sun, as they maneuver about the stadium.",Further away from both of them is a huge group of people coming the same direction.
3471,A white boy is stirring something of a red color in a black dish.,"Yes indeed, the little boy seems like handpicking red pieces of line with his right hand.",He is wearing a checked trouser of many colors including black.,On the side there's a girl dressed in a green and white lines dress.,These kids have put their basins on a blue linen.
3472,"Two men and women are in a small room standing, one man is holding a small book as he reads it.","He is with two women each with a book also, the man opposite is talking to them as a warm welcome to the event.",Another man is wearing a green shirt and a birthday party like cap.,But the gesture he expresses toward the talking man is less but attentive and quiet.,By the side of the man in a cap is a linen of color red.
3473,On the snow hill top stands a dog of black head and the back then white around the neck.,It is walking the snow ice seemingly to be following its master.,"This place is characterized by green like rocks, not sure what could have led to these features.",It is not necessarily green rocks but that snow ice is covering the underlying rocks.,Which indeed look like rocks especially when it is sunset.
3474,A darkish small monkey is walking on the black electric cables.,"Actually this monkey is brown not darkish, it is walking on cables the same way it does in trees.",In its front view there is a poster with yellow writings saying FRIENDS CYCLE.,In the nearby old building a man is standing having behind him some clothes on the line.,"This man is wearing a white t-shirt, and on the poster are drawings of motorbikes with different colors."
3475,"An old white man is wearing a cap, having a walking stick in his hand he is leading his black dog.","He is wearing a blue trouser in the show ground, as he whistles that the dog goes after sheep.",Around the showground are many fans who are excited to watch the game.,"While timing the sheep, this dog is lowered its chin down as always during hunting.",Some among the fans are wearing red t-shirts and others white ones.
3476,"A football goal keeper is flown high to save the ball which, in fact, is passed his saving hands into the net.","Hahaha hahaha, football game is just something else when it is not you playing.",And this goal keeper is missed catching the spinning ball.,"It is a clear score, as this ball is shot right on the goal beams.","There are other players in stadium who are warming up as substitutes, they are trotting as their game rules."
3477,A white lady is standing in a short pant with her baseball stick in the stadium.,"Does Zambia host flying disc sports at any game events, if so it is on rare occasions as it is not common.","By the showgrounds' fence stand three men in white sports attire of caps, t-shirts, and trousers.",One of them is having a black writing pad as his score sheet.,Another is holding a white object under the fence logs as one who wants to pass it on to the female player in his front.
3478,A white lady is seating down behind a black couch with two gents and between them a certain lady.,"She's on the floor with her black bag on the right, the purple phone in her hands and coffee sunglasses.","She's putting on these sunglasses, just as another man in the front of the couch is in black sunglasses and a red t-shirt.",The direction this man is facing there is a dark skinned man and lady seated in the couch. ,Behind this man two ladies also have their sunglasses in the forehead.
3479,"An old white couple is briefing by the way side, both of them are gray haired.","These old folks are wearing warmly, a woman has also put on a red lipstick.",The husband is in a green coat and his wife a black one.,"She is also wearing an orange pair of shoes while her husband a maroon pair, with different caps.",Behind her a man in gloves is going his own way.
3480,A gray haired white man is playing the trumpet.,"He is standing beside the piano, and in his front friends with their own instruments too.",By the way this place is lit with assorted illuminations all over the hall and the ceiling.,"The walls have floral drawings of various colors including: green, blue, and yellow among others.",Before the man playing a trumpet stands another man in a shirt with white labels.
3481,Two black dogs are standing in a snowy place.,They are running back to their keepers.,They have their ears up to show excitement.,The excited dogs remind me of our first completed session.,"We were quite happy, as we thought it would be not possible to finish up."
3482,Three musicians are playing their instruments while one of them is singing in to the microphone.,"He is wearing black while holding a mic, with a white sheet on his left hand.",Behind him another man in a black cap.,"But look at this man, could that be white powder he has masked his face with?","Indeed one would wonder what that could be as he looks pale white, and there are seems like stars in the sky. "
3483,"Three dogs are standing on the simba grass, two are brownish while one is black.","A lady squats near them with a hand laid down, the same way we do while whistling to call them closer.",The two brownish dogs are looking to the cameraman.,"But for the black dog nay, it is looking else where as one hunting for the unusual sounds of danger.","And the skies are of a mixed formation with some clear and others darkly, at the same time so clear without chances of raining and vice versa."
3484,A motorcyclist is standing nearby his black ride.,"With his handlebar up, he is then rounding about his motorbike.","His sports attire is of a black coat, blue trouser, and in his bike's tires a yellow line.","A white building with blue labels is afar behind him, written as Vive MotoGP en TVE with 1 on top.",And also the a group of supporters around the showground watching in awe.
3485,The porter in spectacles is smoothening the clay pot with some color.,He is coloring and smoothening his clay pots with a maroon color.,"This porter is male, and has got short black hair. ","Talking about the porter reminds me of the Master Porter, who created our human frames in His own image.","This porter's head is likely to lose some hair due to age, as well as develop a bald head."
3486,A massive group of sports team members are warming up for a marathon.  ,"They all are looking alert for this event, as this marathon is service to Haiti. ",A man is the forefront is in a white cap and t-shirt.,"And on his right another man in black, with his hands stretching backwards.","And then one more man who is holding his hands in the waist line, wearing a white t-shirt."
3487,A certain white man is walking down the street in a white shirt while looking in the sides.,"He is hurrying to the way side with his hands swinging, while others are in the main road.","His hair is black and short, and in his front a woman walking in black robe.",Also behind him a man riding on his bicycle down the road.,Next to the lady there is a man in a cap also looking in the side ways.
