IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
4701,Two young girls are standing facing the wall and have leaned their heads against it,"From the two girls, one is wearing a short and the other a trousers",The both girls are preschoolers and are light skinned,The wall they are leaning on is made of reddish bricks ,Looks like these girls have a misunderstanding or had an argument 
4702,Two black men are standing in a certain place at night,Behind the two black men there are two whites,"From the two black men standing,  one is holding a phone and the other has covered his ears and the top of his head with a shirt he is wearing",Looks like this place they are at is a leisure resort area,"It seems like the guy holding his phone is playing a song that the other guy doesn't like. Hence, the reason he has covered his ears with the shirt he is wearing"
4703,A crowd of men and women are in a public place,"From this crowd, one man is sited and reading a newspaper ","And from the women standing in the crowd, one is pressing her phone",Also another woman standing looks like she is lost in thoughts about something. One man is standing and holding his waist,Other men standing from the crowd are watching something that seems to have surprised them alot
4704,Young girls and boys are in a classroom and each one of them has something to write on besides them,What then are these children learning about?,These children are learning how to write numbers,These children look very eager to learn and they seem underprivileged ,It looks like these children are poor cause most of them are puting on dirty and ripped clothes
4705,A crowd of many people are gathered to watch a vehicle that was involved in a road accident and smoke is coming out of it,One from this very crowd is capturing this vehicle which was involved in an accident,And one lady from the crowd is wiping while she lays her head on a man's shoulder,It seems this vehicle they are watching had people in it before it crashed in the road accident,That's probably the reason why people have gone to watch it; others have even lost beloved ones in this accident 
4706,Two white skinned young ladies are digging in the field,And they have hoes they are using to dig the field,These young ladies are wearing blue trousers,"Behind the field they are in, there is a house white in colour with a black gate","Also, one lady digging in the field looks younger than the other"
4707,A white skinned house is inside the house,This man has opened his mouth and is putting on his trousers ,"Not far from where he is, there is a table with two cups on it",Behind him scattered chairs can be seen,This man looks like he is from drinking alcohol that could be the reason he seems super excited
4708,One black dog is in the bush,This dog is running and jumping over the dry tree that has fallen on the ground,This dog has its mouth open and tongue out has it's running ,In the Bush where the dog is there are alot of green trees,This dog looks like its chasing something
4709,Two light-skinned men are in a wrestling ring,But what are these men doing in the wrestling ring?,One man in the wrestling ring is being spread medicine in his wide open mouth,And this man is wearing a red helmet,This man looks like he was injured whilst wresting that's the reason he is receiving first aid
4710,A father and a son are in the pool of water,Why are they in a pool and what are they doing?,Looks like the father is giving swimming lessons to his child,The child who is learning how to swim has worn something on his arms to support him swim,The father looks joyous to see his child learning how to swim effectively and the child is equally excited to learn how to swim
4711,White skinned people are in a public area which has a lot of people in it,"In this same area, there are alot of big public busses that transport alot of people ","Also in this area, we can spot three women with blonde hair","From these three women, one is wearing black sunglasses","In this area, there are also alot of different  huge buildings"
4712,Three men are seated inside a room of a particular building ,All three are seated around a big table ,One amongst the three men is shirtless ,"On the table, there are different instruments/ equipments to work with",All three men look like they are working on something using these equipments
4713,A young boy is in the football field,This boy is a white person and his face has black paintings,"This boy is running in the football ground, wearing sports attire and black shoes",On the front of the shirt is wearing there is a sticker with numbers,Behind him there are three grown men watching this young boy run
4714,A baby boy is climbing a ladder,This ladder is attached to the building made of wood outside,This baby is white and he is wearing a red shirt and black shoes,Looks like this building is the children's play house,"Behind this house, a lot of trees with green leaves are seen"
4715,One man looks like he is sited inside the big bus,This man is white and he is sited on the window side of the bus,He is wearing a black Jersey and his hair is black,And he has a white phone put on his ears,"Outside the moving bus, there a lot of other vehicles seen"
4716,A crowd of people are sited on the chairs of the huge bus,These people are whites both women and men,One man in this bus is pressing his phone and another woman has lap-sited a baby facing behind,"Inside the bus in the middle, there is a bus attendant who is making sure the passengers are okay",Inside this bus there is a compartment at the top most which consists of passenger's luggage 
4717,A white boy toddler is smiling whilst standing on top of a big rock,In the area where he is there are a lot of trees with green leaves ,This area also has a lot of rocks of different shapes and sizes,Some of the rocks are inside a stream of water and others are just on the ground,This boy is wearing a red pants and he is shirtless
4718,A white lady is laying on a wooden thing,This lady is just wearing a white towel on her body,"Besides where she is laying, there is a wooden pot like thing",This lady is also leaning her arms on her head ,She looks like she's been captured that's the reason shes striking a pose and facing the camera
4719,A crowd of people is standing inside the bush,"Where they are standing,  there are a lot of big trees",In front of this crowd of people there is a baby walking away from this crowd,All the people in this crowd are whites,This crowd consists of both male and female and they are putting on attires for making films
4720,A crowd of white people are in a crowded place,In this crowd there are both young and old,Looks like there are in a hot area where there is a pool,In the crowd there is a lady wearing a swimming costume ,In this place other people are sited and others are standing
4721,A group of men are on the road in the evening,These men are working and wearing worksuits,Looks like these men are working on reconstruction the road,"In the middle of the road where they are, there is a white car and machinery they are using for road construction ",Across the road there is a ground where a lot of vehicles are parked 
4722,One guy is riding his bicycle on a road,This guy is also wearing an helmet for protection ,This guy has put on a black trousers and a red/white stripped shirt,He is also wearing white gloves on his hands,The front of his bicycle has a sticker with a number on it
4723,One man is sitting in a dark room,Inside this room there is a table with a black computer on it,One computer looks on and the other is off,"This man is facing on the sides with his hands on his mouth, the work he is doing on the computer seems stressful ",In this room there is also a shelf with alot of books
4724,A male white youth is walking on the road,He is wearing a black suit and carrying a briefcase ,He is looking on the phone he is pressing ,"Next to him, there is a huge tall green building ",This building has windows both on top and down 
4725,A group of men are in a play ground,These men are playing football ,They are wearing different sports attires,All these men in the ground are whites,Two of these men have jumped to reach for the ball
4726,One old man is standing inside a building ,This man is white and has white hair,He is wearing a white shirt and holding a glass cup in his hands,This glass cup contains red liquid ,This old man looks like he is looking at something with his mouth open
4727,One guy is on his bicycle ,This guy is a white person,The bicycle he is on is up in the air,And down there is something made of concrete that is bumpy ,On this concrete there are written words
4728,Two white women are inside a building,They are sited on chairs surrounding a table covered with a white cloth,"This table has papers , stationary and a black hat",These ladies look like they are making cards out of papers,Inside this building there are other people who seem to be doing the same work
4729,Two white ladies are standing inside a building ,One of these ladies standing in front has her hands put in the pockets of the Jeans she's wearing and smiling ,One standing at the back is eating and has a cup containing juice,Behind this lady eating there is a white man standing ,Besides these ladies there is a shelf containing papers and bags
4730,There people are sited on chairs that are besides the road,"These people are white, two are women and one is a man",One woman sited on the middle is wearing white clothes and has her head leaned on the chair,The lady sited on the right side is wearing black clothes and has put her luggage down ,"Behind where they are sited; a lot of flowers, cars and buildings  are seen"
4731,An elderly man is sited towards the window of a huge building ,This man is light skinned ,The wall of the building has three big white windows,This man is sited on a small chair outside the top most window of the tall building  ,Where he is sited there is white paint which he is using to paint the corners of the window
4732,Two look-alike men are sited inside the house,These men are sited on couches and one is more light skinned than the other,Behind where he is sited there is table with an on computer on it,This computer has a greenish picture on the screen,This table is covered with white cloth and has many other things on it 
4733,Two ladies  are playing games in a play ground ,One is younger and another is older,These ladies are wearing helmets and protective clothing,The younger one is laying down with the ball thrown in the air and the older one is trying to catch this ball ,Behind this play ground there is a fence and behind the fence there are people watching these games
4734,A white man is standing on the stage ,This place looks dark seems it's in the night,Behind the man there is a red light on,This man is holding a Mike on his right-hand ,"He is facing down, covering his face with one hand. Looks like he is feeling bad."
4735,One white man is sited down inside the bush,Where he is sited there are alot of grass and he is holding a stick,This man is shirtless and he looks miserable ,This area where he is has a lot of trees with green leaves,Not very far from where this man is sited there is a man who is standing and he is equally shirtless
4736,Two white women are inside the bush,The woman sited in front of the other has put food she is eating on her mouth,And also the one behind is holding food she is eating,The woman sited in front looks like she is watching something in front of her,"Where they are sited there are bags down, looks like they are on a tour!"
