pair_id	sentence_id	image_id	audio_id	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang	bem_transcription
19	2	442918418.jpg	"19_1360_3_192_02_211110-133955_bem_d8d_elicit_1.wav
"	192	female	8.643	16000	vnd.wave	bem	leh	umukasha nafwala akaputula akepi akakashikila. elyo nakaka imishishi kunuma yamutwe wakwe.
28	1	4159032091.jpg	"28_3460_2_281_01_211111-145842_bem_d8d_elicit_1.wav
"	281	female	5.263	16000	vnd.wave	bem	leh	elyo mumusebo muli honda nabantu babili nabanyinapo.
7	1	3445296377_1e5082b44b.jpg	"7_5296_2_71_01_211103-165217_bem_1e5_elicit_1.wav
"	71	female	9.097	16000	vnd.wave	bem	bem	nabafwala nafimunyelatu ifilemoneka fyalikaba saana
11	1	2475300106_b8563111ba.jpg	"11_6341_4_111_01_211030-045749_bem_1e5_elicit_2.wav
"	111	female	10.98	16000	vnd.wave	bem	bem	Ee, ili ku cifulo icisuma ilebutuka palunkoto lyena mumbali yaiko muli utumaluba utwingi utusuma utwabalula bwino
22	1	3523972229.jpg	"22_7760_2_221_01_211112-114530_bem_004_elicit_1.wav
"	221	female	3.97	16000	vnd.wave	bem	nbl	kulubali kwa ukulyo kuli ici kulwa ici tali
6	2	2953015871_cae796b6e7.jpg	"6_5249_1_62_02_211031-120055_bem_53e_elicit_0.wav
"	62	male	11.706	16000	vnd.wave	bem	bem	elyo imbwa ilemoneka iyamasako ayengi saana pamubili nomucila uwafunda icinecine.
16	1	4930656908.jpg	"16_6372_2_161_01_220111-132959_bem_5da_elicit_1.wav
"	161	male	5.399	16000	vnd.wave	bem	toi	Emukwai iyi ni court ya volleyball kwena bale pekanya abana bama sukulu.
19	2	406642021.jpg	"19_7000_1_192_02_220117-220949_bem_5bb_elicit_0.wav
"	192	male	8.893	16000	vnd.wave	bem	bem	Naikata ababokoyakwe yonse yabili kulupili elyo amakasa yakwe nayou nanyanta apakwebati tekuti apone iyo
12	1	514073775_56796be990.jpg	"12_6568_4_121_01_211105-120452_bem_9ed_elicit_2.wav
"	121	male	6.828	16000	vnd.wave	bem	nya	Elo kuli ne fimuti kunuma epo tubaiche tule yangala
2	1	3560081723_62da0035bd.jpg	"2_470_4_21_01_211026-075604_bem_cee_elicit_2.wav
"	21	female	4.945	16000	vnd.wave	bem	bem	kuli ulukungu kabili nafwala icisote ku mutwe Ica kucingilila
16	1	2393264648_a280744f97.jpg	"16_7650_4_161_01_211109-130308_bem_74d_elicit_2.wav
"	161	female	7.963	16000	vnd.wave	bem	toi	kaili cifwele icimumana ici naciba papusha saana elocikulu saana 
20	2	2866093652.jpg	"20_1659_3_202_02_211113-092221_bem_654_elicit_1.wav
"	202	male	10.005	16000	vnd.wave	bem	bem	awe ico mune tekuti njishibe,elyo ababene abakashana balemoneka abapama
8	1	3109780402_dbae082dc5.jpg	"8_1983_4_81_01_211031-151729_bem_abe_elicit_2.wav
"	81	male	4.537	16000	vnd.wave	bem	bem	Cacine! Bonse babili nabafwala ifyafita
5	1	3247500085_c4f641aa84.jpg	"5_1068_4_51_01_211101-213838_bem_e3a_elicit_2.wav
"	51	female	6.602	16000	vnd.wave	bem	bem	ilemoneka ninshita yabushiku pantu kulemoneka ukwafitulukila fitulukila
35	2	7243489604.jpg	"35_11121_3_352_02_220118-140255_bem_f12_elicit_1.wav
"	352	female	4.083	16000	vnd.wave	bem	bem	Uyu umulumendo alemoneka uwasansamuka icine.
18	1	4138543712.jpg	"18_6908_2_181_01_220117-125609_bem_524_elicit_1.wav
"	181	female	4.401	16000	vnd.wave	bem	bem	pakunyaata babofeshefye utukondo tweka tweka
20	1	317413869.jpg	"20_7356_0_201_01_220116-200023_bem_62a_elicit_0.wav
"	201	female	7.373	16000	vnd.wave	bem	bem	umuntu uwafita Inkanda nafwala ifyabuta nolusokoshi lwa kumutwe
25	2	2474047296.jpg	"25_2714_1_252_02_211109-115516_bem_f08_elicit_0.wav
"	252	female	6.806	16000	vnd.wave	bem	bem	Bushe ba wiba wabo ninshi tabalapwisha imilimo pakuti bese batushishe chapamo?
33	2	129474628.jpg	"33_10565_1_332_02_220202-054055_bem_b8a_elicit_0.wav
"	332	male	7.464	16000	vnd.wave	bem	bem	Bushe ici icifulo uyu umuntu alimo cipalile ku cifulo nshi mumimonekele?
8	1	2856699493_65edef80a1.jpg	"8_1937_4_81_01_211031-105435_bem_abe_elicit_2.wav
"	81	male	3.788	16000	vnd.wave	bem	bem	Akatalamukila kuli ilinga
2	1	3243591844_791cfa62eb.jpg	"2_335_4_21_01_211024-212910_bem_cee_elicit_2.wav
"	21	female	6.76	16000	vnd.wave	bem	bem	bonse abana nano bafwele imiputla iifwelr bashitata abapalile nga intungilushi shabo
38	1	3228517564.jpg	"38_6106_0_381_01_211112-232408_bem_ba5_elicit_0.wav
"	381	male	5.104	16000	vnd.wave	bem	bem	Umulumendo aleensha icitukutuku mu matipa mu mpanga.
13	1	3477977145_4df89d69a1.jpg	"13_6906_0_131_01_211031-131028_bem_9ed_elicit_0.wav
"	131	male	7.895	16000	vnd.wave	bem	nya	Imbwa shibili shile chimfyanya muku butuka, naba shikakilila naku kanwa
15	2	2508313118_524e93d48c.jpg	"15_3609_1_152_02_211022-162208_bem_9ff_elicit_0.wav
"	152	female	6.375	16000	vnd.wave	bem	bem	cili kwati ilefwaya ukwikata akapa mbeketi akali mu muulu
27	1	5821135681.jpg	"27_3393_0_271_01_211111-160719_bem_6f4_elicit_0.wav
"	271	female	5.059	16000	vnd.wave	bem	leh	Ulupwa bali munganda yabo ulionse alecita ifyakwe 
16	2	4970965685.jpg	"16_6222_3_162_02_220104-194831_bem_15f_elicit_1.wav
"	162	female	8.53	16000	vnd.wave	bem	bem	Bushe kuti caba ukuti apa epo abomba uyu muntu nagula acisa fye mukumona bamo?
