pair_id	image	sentence_id	image_id	audio_id	sentence	translation	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang
38.0	38119172	1	1045521051.jpg	38_11917_2_381_01_211114-175713_bem_ba5_elicit_1.wav	Afwile takwata. Nangu limbi incende apakubika imipando tapali.	He obviously doesn’t have or he has no space for chairs.	381	male	5.286	16000	vnd.wave	bem	bem
21.0	2176462	1	1055623002.jpg	21_7646_2_211_01_220118-103920_bem_665_elicit_1.wav	Ine nacimonapo tutatu, nomba lolekesha mucikope unjebeko ngatuli tunga?	I thought I saw three children, but look closely tell me how many you see?	211	male	5.944	16000	vnd.wave	bem	bem
36.0	36114270	1	1056338697.jpg	36_11427_0_361_01_220201-070342_bem_57f_elicit_0.wav	umwanakashi uwankanda ya buta uufwele ilaya lyabula amaboko lya makumbimakumbi naiminina panse panshita yakasuba	A white lady in a sleeveless blue dress is standing outside in the afternoon 	361	female	8.099	16000	vnd.wave	bem	bem
14.0	1434513	2	1057210460.jpg	14_3451_3_142_02_211030-133821_bem_743_elicit_1.wav	Takuli fimbi ifileecitika pa ncende bushe finshi ificitikilapo.	There is nothing happening. What happens at this place?	142	male	7.282	16000	vnd.wave	bem	bem
4.0	49170	1	1067675215.jpg	4_917_0_41_01_211027-120705_bem_5a5_elicit_0.wav	Pali umwanakashi ulele pakati apa umusebo apali nemyotoka	A woman is sleeping in the middle of the road.	41	male	7.781	16000	vnd.wave	bem	bem
36.0	3655371	2	1072153132.jpg	36_5537_1_362_02_211113-214230_bem_dbf_elicit_0.wav	Iyi imbwa iletaya akamupila akanono aka katapa katapa na molu yaku ntanshi nayema mumulu.	the  a small green ball and it's front legs are up	362	female	12.273	16000	vnd.wave	bem	bem
17.0	1779212	1	1094462889.jpg	17_7921_2_171_01_211110-065910_bem_947_elicit_1.wav	Ee cacine kabili kunuma yambwa iyi kulina icikulwa iciipalile nga nda.	Yes that's true and being this house is a building that looks like a house	171	male	9.165	16000	vnd.wave	bem	toi
8.0	818794	1	1100214449.jpg	8_1879_4_81_01_211031-053718_bem_abe_elicit_2.wav	Amenshi yalefuma ku kafukauka	Water is coming out from a fountain.	81	male	4.424	16000	vnd.wave	bem	bem
16.0	1663823	2	110820212.jpg	16_6382_3_162_02_220109-220741_bem_9fd_elicit_1.wav	Awe kwena cinecine alifikulila insakwe nokutina tatina ukupya ngafya malaiti.	he is not scared to sweep.	162	female	10.05	16000	vnd.wave	bem	bem
13.0	1331102	1	1131804997.jpg	13_3110_2_131_01_211107-184841_bem_8cc_elicit_1.wav	Bafwile baletusha na ukulolela motoka iya kubasenda ukukonkanyapo ubulendo bwabo elyo epo bekele kunuma kuli  na ifibokosi	Perhaps they are resting while waiting for a car to pick them up so as to continue with their journey. Behind them, are card boxes.	131	female	13.567	16000	vnd.wave	bem	bem
6.0	614130	1	1174525839.jpg	6_1413_0_61_01_211027-073303_bem_53e_elicit_0.wav	Akakashana akaice akabuuta inkanda  nakafwala icampempo catikama nakaputula kamukati akamakumbimakumbi.	A white young girl has worn a thick cloth with a blue underwear.	61	male	16.493	16000	vnd.wave	bem	bem
1.0	139710	1	1174629344.jpg	1_3971_0_11_01_211107-195941_bem_cee_elicit_0.wav	munshita yalusuba abantu abengi apali abana abalumendo, abakashana na abaume Bali munshila mukalale maleenda	during the day aloy of people,where there are  boys, ladies and gentlemen there in town walking	11	female	8.28	16000	vnd.wave	bem	bem
4.0	49661	2	1225443522.jpg	4_966_1_42_02_211026-235932_bem_5a5_elicit_0.wav	Uyu umukasha nafwala ifya fita kaili nensokoshi shintu ishabuta ishilemoneka  nelyo napafita	The woman is putting on black clothes with the black sox.	42	male	9.506	16000	vnd.wave	bem	bem
5.0	549594	1	1259936608.jpg	5_4959_4_51_01_220116-133219_bem_03f_elicit_2.wav	Ku ntamfu ya tu mfunku mfunku utu kuli ifipuna fibila ifila tali ifya makumbi makumbi apekele abantu, kuli na inganda ya katapa katapa na ifimfuti ifingi.	there are some chairs away from this place that are blue and people are sitting on them there are also some green trees and houses behind	51	female	13.249	16000	vnd.wave	bem	bem
1.0	138064	1	127488876.jpg	1_3806_4_11_01_211105-210520_bem_cee_elicit_2.wav	Umulumendo umo afwele akaputula elyo umbi nafwala itoloshi.	one  man is wearing a short and the other a trousers	11	female	5.059	16000	vnd.wave	bem	bem
29.0	2994704	1	127490019.jpg	29_9470_4_291_01_220112-145341_bem_9ff_elicit_2.wav	Elyo kunshi nafwala kaputula nalimo efyo bafwala ilyo baleteya uyu mupila.	he is wearing a short maybe that is the expected attire.	291	female	8.666	16000	vnd.wave	bem	bem
16.0	1675600	1	1285874746.jpg	16_7560_0_161_01_170101-083412_bem_74d_elicit_0.wav	umukasha eleyanda pabantu abengi naikanta necintu kuma boko	A woman is walking in acrowd of people while holding something in her hands.	161	female	7.26	16000	vnd.wave	bem	toi
12.0	1228363	2	1302657647.jpg	12_2836_3_122_02_211106-025238_bem_e3a_elicit_1.wav	Limbi ubushiku naku talala	maybe  it at night , it's cold	122	female	4.877	16000	vnd.wave	bem	bem
30.0	3040660	1	1303727066.jpg	30_4066_0_301_01_211110-095828_bem_654_elicit_0.wav	Umulumendo umusungu nalolesha kukuso elyo alemeka.	A white gentleman is looking to the left with a smile.	301	male	6.851	16000	vnd.wave	bem	bem
37.0	37116783	2	1303727828.jpg	37_11678_3_372_02_211114-171120_bem_524_elicit_1.wav	kukuso kwamukashana kuli na umulumendo	in her left side there is a man	372	female	3.403	16000	vnd.wave	bem	bem
10.0	1061214	1	1313693129.jpg	10_6121_4_101_01_211104-143840_bem_5a5_elicit_2.wav	Abanakashi nibamunina baka mwaume, niba nina na umwana kucituntu	This woman is the mother of the young boy, it's mother at child at the the river banks	101	male	8.87	16000	vnd.wave	bem	bem
13.0	1330250	1	1347519824.jpg	13_3025_0_131_01_211105-150148_bem_8cc_elicit_0.wav	Abakashana babili nabafwala fimo ifyabalala kumitwe shabo elyo balemoneka abansansa saana	Two ladies have wrapped their heads with colourful headscarf, they seem happy.	131	female	9.143	16000	vnd.wave	bem	bem
7.0	754562	1	136644343.jpg	7_5456_2_71_01_211105-100029_bem_1e5_elicit_1.wav	kalemoneka akasekelela kwati kaleumfwa bwino saana	He looks very happy.	71	female	4.605	16000	vnd.wave	bem	bem
28.0	2835053	2	1377668044.jpg	28_3505_3_282_02_211111-011854_bem_665_elicit_1.wav	Pamushili anyantile pali icani cauma kabili na inshila ilifye iyauma nga Mulusuba-lukamba.	The grass on the ground is dry and gravel like during the month of October.	282	male	8.825	16000	vnd.wave	bem	bem
9.0	922220	1	1384292980.jpg	9_2222_0_91_01_211025-202841_bem_ebf_elicit_0.wav	abakashana babili baleenda	Two ladies are walking.	91	female	5.422	16000	vnd.wave	bem	bem
6.0	651664	1	1394927474.jpg	6_5166_4_61_01_211029-060749_bem_976_elicit_2.wav	icikuulwa ici kuti caba itempele ilyakulilwe akale saana ukumonafye kubukulu bwampongolo elyo cifwile cali icabuta  cacinjafye ukumoneka ku kukokola.	The building can be an old temple just from the entrance it can be noted that it was white but has changed color because it is old.	61	male	14.451	16000	vnd.wave	bem	bem
6.0	650433	2	1397923690.jpg	6_5043_3_62_02_211031-041015_bem_53e_elicit_1.wav	kuncende ali kulemoneka ukwatalala nganshi elyo naikata akamuti akafita kuminwe	He is in a cold place and he is holding a skiing rode.	62	male	13.771	16000	vnd.wave	bem	bem
1.0	139190	1	1398613231.jpg	1_3919_0_11_01_211106-213216_bem_cee_elicit_0.wav	umwaume na umwana umwanakashi uwikele pamolu yabaume Bali nabekala pachapala itumbo mumenshi	A man and a lady are sitting on something like a pipe in water.the lady is sitting on the man's laps	11	female	7.94	16000	vnd.wave	bem	bem
17.0	1778474	1	1406010299.jpg	17_7847_4_171_01_211109-114018_bem_947_elicit_2.wav	Ee nasumina pantu nakunuma ya mulumendo uyu kuli ubwato ubukulu.	Yes I agree because behind this gentleman there is a big boat.	171	male	8.575	16000	vnd.wave	bem	toi
4.0	445790	1	1413956047.jpg	4_4579_0_41_01_211029-120635_bem_5a5_elicit_0.wav	Abalumendo batatu nabeminina bale lolesha kuntanshi	Three men are standing looking in front.	41	male	5.739	16000	vnd.wave	bem	bem
9.0	921290	1	1415591512.jpg	9_2129_0_91_01_211025-133155_bem_ebf_elicit_0.wav	Umwana umwanakashi ali eka	A girl child is alone.	91	female	4.242	16000	vnd.wave	bem	bem
8.0	818683	2	1418503947.jpg	8_1868_3_82_02_211031-043946_bem_ce8_elicit_1.wav	Ili inshita yabushiku	It is around evening time.	82	male	3.675	16000	vnd.wave	bem	bem
10.0	1062084	1	1419385780.jpg	10_6208_4_101_01_211108-091248_bem_5a5_elicit_2.wav	balemoneka kwati nalimo bekelefye nalimo balelolela abanabo	He looks line he is just seated or maybe he's waiting for his friends	101	male	6.42	16000	vnd.wave	bem	bem
1.0	11524	1	1428641354.jpg	1_152_4_11_01_211031-131901_bem_cc3_elicit_2.wav	Alepekanishisha amwana ulipambali elyo alesenda ifikope.	She is serving a child as pictures have been taken.	11	male	7.623	16000	vnd.wave	bem	toi
27.0	2789601	2	1428681303.jpg	27_8960_1_272_02_211112-214839_bem_e72_elicit_0.wav	Icikulwa ici cilemoneka kwati muntu,umulandu nacikwata amolu yabili ngomuntu	the building looks like a person with two legs	272	female	7.691	16000	vnd.wave	bem	leh
2.0	24200	1	1429723917.jpg	2_420_0_21_01_211025-093413_bem_cee_elicit_0.wav	Shikulubantu aleenda mumusebo elyo lubali lwakwe kuli umwaume umo naiminina.	An old man is walking through the street and theres a young man standing in the street.	21	female	7.373	16000	vnd.wave	bem	bem
4.0	445770	1	1429814475.jpg	4_4577_0_41_01_211029-120148_bem_5a5_elicit_0.wav	Nakulu bantu naikala pelibwe ale lolesha umulumendo ufwele ifya fita	An elderly woman is sitted on a stone looking at a young man.	41	male	8.008	16000	vnd.wave	bem	bem
18.0	1867184	1	1432342377.jpg	18_6718_4_181_01_220116-125344_bem_524_elicit_2.wav	Bonse babili beminine kwati nakalimo tabaishibana.	They are both standing like the dont know each other.	181	female	4.469	16000	vnd.wave	bem	bem
10.0	1061514	1	1439046601.jpg	10_6151_4_101_01_211104-161820_bem_5a5_elicit_2.wav	Bambi balesamba nabakaputula ukwabula amalaya 	Some of them are bathing with shorts though but without their shirts	101	male	6.602	16000	vnd.wave	bem	bem
	122062	1	1505686764.jpg	12206_2_01_211021-140440_bem_dcc_elicit_1.wav	Aka akamumana kalemonaka kwati kashiba fye elyo mwalifula amabwe ayengi sana pantu ne ncende fye nga twalolekesha ilemonekafye kwaisula fye amabwe.	This river looks deep and there are rocks every where.	11	male	13.862	16000	vnd.wave	bem	bem
15.0	1535793	2	1515883224.jpg	15_3579_3_152_02_211022-120304_bem_9ff_elicit_1.wav	Nipa mulandu wakuti alemoneka nga uuli pabukulu.	It looks like she is pregnant.	152	female	4.719	16000	vnd.wave	bem	bem
9.0	921681	2	1521623639.jpg	9_2168_1_92_02_211026-173455_bem_901_elicit_0.wav	Bekele pacipuna beka fye	He is sitting on the chair alone.	92	female	3.312	16000	vnd.wave	bem	bem
26.0	2687861	2	1542033433.jpg	26_8786_1_262_02_211111-154721_bem_dcc_elicit_0.wav	Ndemona ali kwati nakalimo pambali yamusebo alelolela motoka yakumusenda.	it seems like she is on the side of the road waiting for a viehcle to pick her	262	male	6.715	16000	vnd.wave	bem	bem
10.0	1060351	2	1569562856.jpg	10_6035_1_102_02_211101-163142_bem_ddd_elicit_0.wav	Nabika na utulimba mumatwi, muku mona kobe finshi alemona?	He is has even put headsets in his eyes, in your observation what is he seeing?	102	male	8.076	16000	vnd.wave	bem	bem
7.0	754384	1	1569687608.jpg	7_5438_4_71_01_211105-053335_bem_1e5_elicit_2.wav	kunuma yabo kulemoneka kuli umulumendo nampo e uleensha elo futi abakashana aba balifye abasekelela	Behind there is someone who looks like the one controlling the ship and they are all looking happy.	71	female	12.931000000000001	16000	vnd.wave	bem	bem
37.0	37116474	1	15950702.jpg	37_11647_4_371_01_211114-123020_bem_5bb_elicit_2.wav	elyo abikile na imbale yakwe petebulo	she has put her plate on the table	371	male	4.764	16000	vnd.wave	bem	bem
	6821	2	1606988704.jpg	682_1_02_211006-130320_bem_dcc_elicit_0.wav	Uku kulemoneka kwati tepanse fye lelo nikumpanga kuntu baanika ifyani ifyauma.	This is not just outside but it is a place in the bush where they dry reeds.	12	male	11.207	16000	vnd.wave	bem	bem
22.0	2277680	1	16396183.jpg	22_7768_0_221_01_211112-121631_bem_004_elicit_0.wav	abalumendo babili nabemina munshi yafimuti	two young men are standing under trees	221	female	3.856	16000	vnd.wave	bem	nbl
25.0	2528950	1	1683444418.jpg	25_2895_0_251_01_211110-131514_bem_5da_elicit_0.wav	Abalumendo babili nabeminina balekopwa pikicha kunuma nakumbali yabo kuli abakashana naba lumendo abekele pa lunkoto.	Two men are taking pictures while behind them there are men and women sitted on the grass,	251	male	10.141	16000	vnd.wave	bem	toi
15.0	1572702	1	1688699579.jpg	15_7270_2_151_01_211025-192204_bem_9ff_elicit_1.wav	Bushe finshi imbwa yafitulukila isendele ku kanwa?	What it that the black dog is carrying in his mouth?	151	female	6.193	16000	vnd.wave	bem	bem
