IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
2701,Five men are telling stories.,Is the man in the middle with small papers and showing them to his friends?,Yes the old man is showing the small papers for the area where they sale plotes for houses in Kabangwe.,Someone can just see from the way they are happy that the area they are talking about is a good area.,Thank you and yes these people looks to be very happy because the place is good.
2702,A man who is  putting on dark clothes is from seen  a man who is seated under the umbrella outside the building.,"This old man seated here,he plays his guiter the whole day and night and people who pass by comes to put money for him.",Yes this old man has got a talent of playing the guiter very well that is why people give him money.,"Up to now they have not come to pick up the man standing next to the building,because it is late in the night now,the man seated has ven started preparing himself with warm clothes.",Yes it looks like this man standing next to the buliding has started feeling cild because they have taken long to come and pick him up.
2703,A man and a womn are looking at the map of the building.,"""Please can we just get on a bus passing by the roadside?"",a woman asks the man.","It looks like the ma does not want to get lost,so he is telling the woman that they first check on the map.",Because it is getting late and how are they going to move when they dont know the way? and to make it worse this is the first time to visit this place and the celebrations they travelled for are done.,Yes it is really late that is why they are checking on the map so that they see how they will move.
2704,Two men with one woman have possed for a picture.,"The woman looks like she is the wife for the man in the middle,then the other old man is the father inlaw to the woman,he is just escorting them as they go back to their place.",Yes it looks like time for visiting has come to an end but the man in  the middle does not look happy.,"The husband in the middle says"" let us just wait a little longer there are no buses here only small cars and they belong to the local people who actually has brought people travelling,even tomorrow we can go there is nothing we are rushing for"".",That is why he has really complained so much but it seems like the spouse really wants to go back home.
2705,Two men are playing.,"The way they are playing sure,they are even dropping their glases down.",For sure one can wonder and they look so happy with their playing.,"They have finished their school and they will eally miss each other but instead they pack their bags fast,thwy are just wasting their time with playing.","They will eally miss each other for sure,they pefer playing instead of packing their bags in the cars."
2706,Two men with one woman are celebrating.,"The selection for the election has really taken long,it has even reached in the evening untill the person they wanted has won. But is it very cold?",Yes it looks lie it is very cold because this young man behind looks like he is very cold.,"This is very good that the election has ended and they are back,but if they lost they would have waited in vain, now they have gone to celebate from their homes.",It is really a thing of joy because they have won and now people will go and celebrate from their homes.
2707,A man is cutting onions and putting them on the pan.,Does it mean the wife is not around for him to be cooking?,It looks like the wife is not yet back from work and the husband is hungry.,"The knife is very sharp,the way it is cutting the onions very well.",Yes it looks like the man himself knows how to cook very well.
2708,A white man is riding a motorbike while carrying working tools.,They are waiting for this man for a long time now for him to take the tools at the mine.,It looks like he went to move around the compound for people to see that he can ride the motorbike.,And the mine is kust near the compound he stays in.,This time now looks like he will take the working tools at te mine.
2709,People who work from the campany of fire extinguishers are trying to put off the fire.,"Looks like even the health workers are have arived,does it mean there are people inside who hve been caught up with fire?",It looks like there is a building with fire and they are trying to put off the fire.,They even came late and a lot of materials have been burnt.,Yes it looks like they are really late and there people who have already fainted.
2710,A woman who is a musician is singing whikle playing a violin.,Is it this the person they called to come and sing for people who are having a meeting?,Yes this is the person who is a very good singer and makes everyone happy.,"There is too much talent here,such that she can sing while playing the violin.",It is a very good thing to sing while playing the piano or guiter.
2711,A woman with two children are been carried on the motorbike.,This is so bad because they have taken away all the propertier after loosing her husband.,"It is very bad,now its time to go back to her parents.",So they have just started off going to the grandparents of the children.,Yes this is the journey they have embarked on hoping things will be better.
2712,A small child is playing with the dog.,"The child does not have friends to play with ,hence playing with the dog always.",Yes it looks like the child does not have friends to play with in the area.,Again the parents of the child does not even pay attention to the child.,It loks like the parents are busy on their phone.
2713,A small child is touching a goat while crying.,"This child they have taken to a place of animals,that is why he is crying ike this?",Yes it looks lie the child is scared that it might bite him.,The people who took the child to this place looks like they dont want to take him away from the goat.,People who took him looks like they are busy looking at other animals.
2714,An old man is seating alone while looking on the wall.,Does it mean that the spouse is not yet done with house chores so that they come  and rest together?,It looks like she still has work to do in the house untill she finishes.,He is looking at the wall thinking if he can break it down and make s new building for chickens or he should leave it.,It looks like the old man wants to break the wll.
2715,A small baby girl is playing on the jumping castle.,Workers of the house are the ones who took the child to play acording to the instructions the parents left.,It looks like the paents fo the child has something to do that is why they sent a worker to take the child to play.,This play ground do they have different colors they are using to paint themselves?,That is what it looks like its a color feast for children.
2716,A group of singers and who play drums are perfoming for the people.,Is there a dancing competition here?,Yes it looks like there is a competition and the winner will be awarded wth a gift.,"This groupf singers is for sure liked,the way a lot of people are watching them in one night.","Its a group which people likes even if its dark, people come to watch them."
2717,The drivers and the mechanics are checking the cars in readiness for the competition.,They should check properly because someone had an a car accident the other day right here.,This cars really moves at a high speed so they need to check them properly.,"Even the people to cheer the ground are not yet full,does it mean the competition will start later?","Yes right now they are trying to see if the car is working well,otherwise the competition will start later."
2718,A woman and a man are capturing people at the function.,"A woman is lost in her thoughts,is there something wrong?",Looks like there is something in her thoughts maybe she wants to capture something else.,Because everytime they are called to capture but today she is very different lost in her thoughts.,Today she looks strange maybe there is someting wrong at home.
2719,A man wants to pick some firewood in the bush.,Is it very cold at the hill?,Yes it is very cold that is why he is looking for firewood in order to make the fire.,A woman he went with said she wanted to check behind the hill.,"Yes her, she decided to check behind the hill to pick some firewood."
2720,A dog is trying to walk with two legs like a human being.,Most of the times dogs behave like this when they are copying from human beings.,It looks like the owner teaches it to walk and stand like a human being.,"They have even flashed it with the light then its walking,you can wonder for sure.",The owner has even flashed a light on it so that he captures properly.
2721,A man from china and the friend are playing a game of pool table.,"This man is very happy, is it not the second time he has emerged a winner?",It looks like he is winning very much that is why he is happy.,Some otheer people are waiting to play with him and planning to win.,Everyone wants to play with him so that they can win and he can loose.
2722,Boys and girls are playing in the water.,Is there a game for pouring water on each other in the river?,Yes it looks like they have come to play in the water.,Beside them there are buildings and houses.,Yes when you cross the the road there houses and buldings where they sale beer.
2723,Men from china and women are buying things from the market.,Are they the ones going right there with simmilar tishirts?,Yes and everyone passing are chines people because this is a place for china people.,For sure this place has a lot of items to sale and a lot of people around.,The items are a lot and prices are cheap because people found there are very good.
